Name,Tons,BV,PV,Role,TRO/RS,Rules,Intro
Bombardier BMB-12D,65,"1,480",39,Missile Boat,TR:SW RS:SW,Standard,2735
Catapult CPLT-C1,65,"1,399",32,Missile Boat,TR:SW RSFP:Wave 1,Introductory,2561
Catapult CPLT-C1b,65,"1,570",37,Missile Boat,TR:SW RS:SW,Standard,2688
Cestus CTS-6Y,65,"1,701",37,Brawler,TR:3058U RS:3058Uu-C,Standard,2766
Crusader CRD-3R,65,"1,317",32,Missile Boat,TR:3039 RSFP:Wave 2,Introductory,2752
Exterminator EXT-4D,65,"1,385",37,Skirmisher,TR:SW RSFP:Wave 2,Standard,2630
JagerMech JM6-S,65,901,26,Sniper,TR:SW RS:SW,Introductory,2774
Thunderbolt TDR-5S,65,"1,335",36,Brawler,TR:SW RSFP:Wave 1,Introductory,2505
Archer ARC-2R,70,"1,477",39,Missile Boat,TR:3039 RSFP:Wave 1,Introductory,2474
Excalibur EXC-B2,70,"1,533",37,Skirmisher,TR:SW RS:SW,Standard,2620
Grasshopper GHR-5H,70,"1,427",37,Skirmisher,TR:SW RSFP:Wave 2,Introductory,2780
Guillotine GLT-3N,70,"1,418",35,Skirmisher,TR:SW RSFP:Wave 2,Standard,2499
Shootist ST-8A,70,"1,507",41,Brawler,TR:SW RS:SW,Standard,2621
Warhammer WHM-6R,70,"1,299",32,Brawler,TR:3039 RSFP:Wave 1,Introductory,2515
Black Knight BL-6-KNT,75,"1,551",39,Brawler,TR:SW RSFP:Wave 2,Standard,2578
Black Knight BL-6b-KNT,75,"1,627",42,Brawler,TR:3050U RS:3050Uu-C,Standard,2751
Flashman FLS-8K,75,"1,779",41,Skirmisher,TR:SW RSFP:Wave 2,Standard,2701
Marauder MAD-1R,75,"1,420",37,Sniper,TR:3075 RS:3075u-AW,Standard,2612
Orion ON1-K,75,"1,429",39,Brawler,TR:SW RSFP:Wave 2,Introductory,2525
Awesome AWS-8Q,80,"1,605",39,Sniper,TR:SW RSFP:Wave 1,Introductory,2665
Awesome AWS-8R,80,"1,470",38,Missile Boat,TR:SW RS:SW,Introductory,2683
Goliath GOL-1H,80,"1,449",39,Sniper,TR:3039 RS:3039u,Introductory,2652
Spartan SPT-N2,80,"1,605",43,Skirmisher,TR:3058U RSFP:SI,Standard,2765
Thug THG-11E,80,"1,640",41,Brawler,TR:SW RSFP:Wave 2,Standard,2572
Victor VTR-9A,80,"1,236",31,Skirmisher,TR:SW RS:SW,Introductory,2508
Victor VTR-9A1,80,"1,302",33,Skirmisher,TR:SW RS:SW,Introductory,2508
Victor VTR-9B,80,"1,378",36,Skirmisher,TR:SW RSFP:Wave 2,Introductory,2510
BattleMaster BLR-1G,85,"1,519",40,Brawler,TR:SW RSFP:Wave 1,Introductory,2633
BattleMaster BLR-2C,85,"1,563",45,Brawler,RGv1 RG03,Advanced,2925
Crockett CRK-5003-1,85,"1,923",46,Sniper,TR:SW RSFP:Wave 2,Standard,2735
Longbow LGB-7Q,85,"1,618",45,Missile Boat,TR:3058U RSFP:Wave 2,Introductory,2610
Longbow LGB-8C,85,"1,653",45,Missile Boat,RGv1 RG20,Introductory,2615
Stalker STK-3F,85,"1,559",42,Juggernaut,TR:SW RSFP:Wave 2,Introductory,2594
Stalker STK-3H,85,"1,624",42,Missile Boat,TR:SW RS:SW,Introductory,2638
Cyclops CP-10-HQ,90,"1,113",32,Juggernaut,TR:SW RS:3039u,Experimental,2753
Cyclops CP-10-Z,90,"1,317",34,Juggernaut,TR:SW RSFP:Wave 2,Introductory,2710
Emperor EMP-6A,90,"1,969",42,Juggernaut,TR:SW RS:SW,Standard,2612
Highlander HGN-732,90,"2,227",47,Sniper,TR:SW RSFP:Wave 2,Standard,2592
Banshee BNC-3E,95,"1,422",38,Sniper,TR:SW RSFP:Wave 2,Introductory,2475
Nightstar NSR-9J,95,"2,399",51,Juggernaut,TR:SW RSFP:Wave 2,Standard,2767
Atlas AS7-D,100,"1,897",52,Juggernaut,TR:SW RSFP:Wave 2,Introductory,2755
Atlas AS7-D-DC,100,"1,858",52,Juggernaut,MWC RS:3039u,Advanced,2776
King Crab KGC-000,100,"1,906",46,Juggernaut,TR:3050U RSFP:Wave 2,Standard,2743
Pillager PLG-3Z,100,"2,697",51,Juggernaut,TR:SW RS:SW,Standard,2594
Thunder Hawk TDK-7X,100,"2,577",51,Sniper,TR:SW RS:SW,Standard,2771
